Designator,Mid X,Mid Y,Rotation,Layer
C1,160.2,-117.4,90.0,bottom
C10,156.82,-126.318986,180.0,bottom
C11,157.88,-131.0,270.0,bottom
C12,161.9875,-128.3875,180.0,bottom
C13,157.68,-122.659942,90.0,bottom
C14,158.5,-107.6,90.0,bottom
C15,153.72764,-131.824269,0.0,bottom
C16,159.28,-132.3075,270.0,bottom
C17,160.230968,-124.85,0.0,bottom
C18,159.35,-125.887,180.0,bottom
C19,161.956136,-129.594334,180.0,bottom
C2,158.7,-116.4,90.0,bottom
C20,154.61,-124.4575,270.0,bottom
C21,155.46,-130.03,270.0,bottom
C22,157.28,-143.89,180.0,bottom
C23,159.74,-143.89,0.0,bottom
C3,152.74,-121.6,270.0,bottom
C4,154.9,-121.13,270.0,bottom
C5,154.89,-137.63,90.0,bottom
C6,162.73,-130.1,270.0,top
C7,165.311967,-133.799999,180.0,top
C8,152.98,-126.99,180.0,top
C9,152.21,-127.91,180.0,top
D1,157.62,-113.79,90.0,bottom
D2,156.57,-116.4,0.0,bottom
D3,156.57,-118.4,180.0,bottom
F1,160.25,-107.0,270.0,bottom
H1,158.5,-136.19,0.0,top
J1,158.5,-101.86,180.0,top
J2,158.5,-152.2,180.0,top
J3,165.4,-109.81,0.0,top
J4,165.4,-121.24,0.0,top
J5,153.075,-107.6,270.0,top
J6,153.075,-114.0,270.0,top
J7,153.22,-110.805,0.0,top
L1,152.610574,-125.24564,270.0,top
LED1,151.635,-137.0,180.0,top
LED2,165.375,-137.041945,180.0,top
R1,151.635,-138.105,180.0,bottom
R10,155.001686,-111.95,270.0,bottom
R11,155.0,-114.49,270.0,bottom
R12,160.25,-109.81,180.0,bottom
R13,160.25,-111.64,180.0,bottom
R2,165.375,-138.146945,180.0,bottom
R3,156.912099,-139.532674,180.0,bottom
R4,163.28,-128.6175,0.0,top
R5,156.28,-124.607471,270.0,bottom
R6,156.912099,-140.717674,0.0,bottom
R7,163.5,-142.5,180.0,bottom
R8,152.21,-129.793837,0.0,top
R9,152.21,-128.848918,0.0,top
SJ1,160.25,-112.35,270.0,top
SW1,153.6,-142.5,0.0,top
SW2,163.5,-142.5,0.0,top
U1,158.5,-107.6,270.0,top
U2,157.05,-120.65,0.0,top
U3,158.5,-136.2,90.0,top
U4,158.08,-128.3875,90.0,top
U5,158.5,-142.5,90.0,top
Y1,164.94,-131.18,270.0,top
